Model,Scenario,Variable,File Count
ACCESS-ESM1-5,ssp245,pr,0
ACCESS-ESM1-5,ssp245,tas,0
ACCESS-ESM1-5,ssp245,rsds,0
ACCESS-ESM1-5,ssp245,sfcWind,0
ACCESS-ESM1-5,ssp370,pr,0
ACCESS-ESM1-5,ssp370,tas,0
ACCESS-ESM1-5,ssp370,rsds,0
ACCESS-ESM1-5,ssp370,sfcWind,0
ACCESS-ESM1-5,ssp585,pr,0
ACCESS-ESM1-5,ssp585,tas,0
ACCESS-ESM1-5,ssp585,rsds,0
ACCESS-ESM1-5,ssp585,sfcWind,0
CanESM5,ssp245,pr,0
CanESM5,ssp245,tas,0
CanESM5,ssp245,rsds,0
CanESM5,ssp245,sfcWind,0
CanESM5,ssp370,pr,0
CanESM5,ssp370,tas,0
CanESM5,ssp370,rsds,0
CanESM5,ssp370,sfcWind,0
CanESM5,ssp585,pr,0
CanESM5,ssp585,tas,0
CanESM5,ssp585,rsds,0
CanESM5,ssp585,sfcWind,0
CMCC-ESM2,ssp245,pr,0
CMCC-ESM2,ssp245,tas,0
CMCC-ESM2,ssp245,rsds,86
CMCC-ESM2,ssp245,sfcWind,86
CMCC-ESM2,ssp370,pr,0
CMCC-ESM2,ssp370,tas,0
CMCC-ESM2,ssp370,rsds,86
CMCC-ESM2,ssp370,sfcWind,86
CMCC-ESM2,ssp585,pr,0
CMCC-ESM2,ssp585,tas,0
CMCC-ESM2,ssp585,rsds,86
CMCC-ESM2,ssp585,sfcWind,86
CNRM-CM6-1,ssp245,pr,0
CNRM-CM6-1,ssp245,tas,0
CNRM-CM6-1,ssp245,rsds,0
CNRM-CM6-1,ssp245,sfcWind,0
CNRM-CM6-1,ssp370,pr,0
CNRM-CM6-1,ssp370,tas,0
CNRM-CM6-1,ssp370,rsds,0
CNRM-CM6-1,ssp370,sfcWind,0
CNRM-CM6-1,ssp585,pr,0
CNRM-CM6-1,ssp585,tas,0
CNRM-CM6-1,ssp585,rsds,0
CNRM-CM6-1,ssp585,sfcWind,0
EC-Earth3,ssp245,pr,0
EC-Earth3,ssp245,tas,0
EC-Earth3,ssp245,rsds,0
EC-Earth3,ssp245,sfcWind,0
EC-Earth3,ssp370,pr,0
EC-Earth3,ssp370,tas,0
EC-Earth3,ssp370,rsds,0
EC-Earth3,ssp370,sfcWind,0
EC-Earth3,ssp585,pr,0
EC-Earth3,ssp585,tas,0
EC-Earth3,ssp585,rsds,0
EC-Earth3,ssp585,sfcWind,0
GFDL-ESM4,ssp245,pr,0
GFDL-ESM4,ssp245,tas,0
GFDL-ESM4,ssp245,rsds,86
GFDL-ESM4,ssp245,sfcWind,86
GFDL-ESM4,ssp370,pr,0
GFDL-ESM4,ssp370,tas,0
GFDL-ESM4,ssp370,rsds,86
GFDL-ESM4,ssp370,sfcWind,86
GFDL-ESM4,ssp585,pr,0
GFDL-ESM4,ssp585,tas,0
GFDL-ESM4,ssp585,rsds,86
GFDL-ESM4,ssp585,sfcWind,86
GISS-E2-1-G,ssp245,pr,0
GISS-E2-1-G,ssp245,tas,0
GISS-E2-1-G,ssp245,rsds,86
GISS-E2-1-G,ssp245,sfcWind,86
GISS-E2-1-G,ssp370,pr,0
GISS-E2-1-G,ssp370,tas,0
GISS-E2-1-G,ssp370,rsds,86
GISS-E2-1-G,ssp370,sfcWind,86
GISS-E2-1-G,ssp585,pr,0
GISS-E2-1-G,ssp585,tas,0
GISS-E2-1-G,ssp585,rsds,86
GISS-E2-1-G,ssp585,sfcWind,86
FGOALS-g3,ssp245,pr,0
FGOALS-g3,ssp245,tas,0
FGOALS-g3,ssp245,rsds,0
FGOALS-g3,ssp245,sfcWind,0
FGOALS-g3,ssp370,pr,0
FGOALS-g3,ssp370,tas,0
FGOALS-g3,ssp370,rsds,0
FGOALS-g3,ssp370,sfcWind,0
FGOALS-g3,ssp585,pr,0
FGOALS-g3,ssp585,tas,0
